ID_HECHOS_FATALES,ROL_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,FECHA_FALLECIMIENTO
2017-0140,CONDUCTOR,MASCULINO,24,2017-11-19 00:00:00
2017-0141,PEATON,FEMENINO,22,2017-11-23 00:00:00
2017-0143,CONDUCTOR,MASCULINO,50,2017-11-25 00:00:00
2017-0144,PASAJERO_ACOMPAÑANTE,FEMENINO,50,2017-11-26 00:00:00
2017-0145,CONDUCTOR,MASCULINO,58,2017-11-26 00:00:00
2017-0147,CONDUCTOR,MASCULINO,49,2017-11-28 00:00:00
2017-0148,PEATON,FEMENINO,82,2017-11-29 00:00:00
2017-0149,PEATON,MASCULINO,13,2017-11-30 00:00:00
2017-0150,PEATON,MASCULINO,56,2017-12-04 00:00:00
2017-0151,PEATON,MASCULINO,SD,2017-12-04 00:00:00
2017-0152,CICLISTA,MASCULINO,19,2017-12-06 00:00:00
2017-0153,PASAJERO_ACOMPAÑANTE,MASCULINO,SD,2017-12-12 00:00:00
2017-0153,CONDUCTOR,MASCULINO,30,2017-12-12 00:00:00
2017-0154,PEATON,MASCULINO,76,2017-12-11 00:00:00
2017-0155,SD,MASCULINO,77,SD
2017-0157,CONDUCTOR,MASCULINO,53,2017-12-17 00:00:00
2017-0158,CONDUCTOR,MASCULINO,32,2017-12-18 00:00:00
2017-0159,CONDUCTOR,MASCULINO,27,2017-12-20 00:00:00
2017-0160,PEATON,FEMENINO,30,2017-12-22 00:00:00
2017-0161,PEATON,FEMENINO,30,2017-12-26 00:00:00
2018-0001,PEATON,MASCULINO,83,2018-01-02 00:00:00
2018-0002,CICLISTA,FEMENINO,26,2018-01-03 00:00:00
2018-0003,PEATON,FEMENINO,58,2018-01-05 00:00:00
2018-0004,CONDUCTOR,MASCULINO,39,2018-01-09 00:00:00
2018-0005,PEATON,MASCULINO,54,2018-01-09 00:00:00
2018-0006,CICLISTA,FEMENINO,45,2018-01-10 00:00:00
2018-0007,CONDUCTOR,MASCULINO,46,2018-01-11 00:00:00
2018-0008,CONDUCTOR,FEMENINO,32,2018-01-12 00:00:00
2018-0009,CONDUCTOR,MASCULINO,19,2018-01-14 00:00:00
2018-0010,CONDUCTOR,MASCULINO,40,2018-01-18 00:00:00
2018-0011,PEATON,MASCULINO,84,2018-01-19 00:00:00
2018-0012,CONDUCTOR,MASCULINO,20,2018-01-26 00:00:00
2018-0013,CONDUCTOR,MASCULINO,44,2018-01-28 00:00:00
2018-0014,PEATON,MASCULINO,SD,2018-02-04 00:00:00
2018-0015,CONDUCTOR,MASCULINO,28,2018-02-06 00:00:00
2018-0015,PASAJERO_ACOMPAÑANTE,MASCULINO,19,2018-02-06 00:00:00
2018-0016,CONDUCTOR,MASCULINO,31,2018-02-15 00:00:00
2018-0017,PEATON,MASCULINO,35,2018-02-20 00:00:00
2018-0018,CONDUCTOR,MASCULINO,26,2018-02-17 00:00:00
2018-0019,PEATON,FEMENINO,80,2018-02-17 00:00:00
2018-0020,CONDUCTOR,MASCULINO,26,2018-02-19 00:00:00
2018-0021,PEATON,FEMENINO,62,2018-02-22 00:00:00
2018-0022,CONDUCTOR,MASCULINO,28,2018-02-24 00:00:00
2018-0023,CONDUCTOR,MASCULINO,28,2018-02-24 00:00:00
2018-0024,PEATON,MASCULINO,70,2018-02-28 00:00:00
2018-0025,PEATON,MASCULINO,70,2018-03-05 00:00:00
2018-0026,CONDUCTOR,MASCULINO,24,2018-03-09 00:00:00
2018-0026,PASAJERO_ACOMPAÑANTE,MASCULINO,30,2018-03-09 00:00:00
2018-0027,PEATON,FEMENINO,74,2018-03-11 00:00:00
2018-0028,PEATON,MASCULINO,71,2018-03-13 00:00:00
2018-0029,CONDUCTOR,MASCULINO,26,2018-03-15 00:00:00
2018-0030,CONDUCTOR,MASCULINO,24,2018-03-20 00:00:00
2018-0031,CONDUCTOR,MASCULINO,31,2018-03-28 00:00:00
2018-0032,PEATON,MASCULINO,70,2018-04-02 00:00:00
2018-0033,CONDUCTOR,FEMENINO,42,2018-04-10 00:00:00
2018-0034,PEATON,MASCULINO,24,2018-04-11 00:00:00
2018-0035,PEATON,FEMENINO,39,2018-04-12 00:00:00
2018-0036,CONDUCTOR,MASCULINO,37,2018-04-15 00:00:00
2018-0037,PEATON,MASCULINO,84,2018-04-19 00:00:00
2018-0038,PEATON,FEMENINO,59,2018-04-20 00:00:00
2018-0038,PEATON,MASCULINO,61,2018-04-20 00:00:00
2018-0039,PEATON,MASCULINO,37,2018-04-21 00:00:00
2018-0040,PEATON,FEMENINO,SD,2018-04-27 00:00:00
2018-0041,PEATON,FEMENINO,78,2018-04-27 00:00:00
2018-0042,PASAJERO_ACOMPAÑANTE,MASCULINO,23,2018-04-27 00:00:00
2018-0043,CONDUCTOR,MASCULINO,25,2018-04-29 00:00:00
2018-0044,PEATON,FEMENINO,50,2018-04-28 00:00:00
2018-0045,CONDUCTOR,MASCULINO,60,2018-04-30 00:00:00
2018-0046,PEATON,MASCULINO,11,2018-05-02 00:00:00
2018-0047,PEATON,MASCULINO,82,2018-05-09 00:00:00
2018-0048,PEATON,MASCULINO,57,2018-05-16 00:00:00
2018-0049,PEATON,FEMENINO,40,2018-05-13 00:00:00
2018-0050,PEATON,FEMENINO,47,2018-05-24 00:00:00
2018-0051,PEATON,FEMENINO,57,2018-05-15 00:00:00
2018-0052,PEATON,MASCULINO,78,2018-05-19 00:00:00
2018-0053,CONDUCTOR,MASCULINO,43,2018-05-20 00:00:00
2018-0054,PEATON,FEMENINO,86,2018-05-25 00:00:00
2018-0055,CONDUCTOR,MASCULINO,21,2018-05-29 00:00:00
2018-0056,PEATON,FEMENINO,69,2018-06-04 00:00:00
2018-0057,CONDUCTOR,MASCULINO,33,2018-06-04 00:00:00
2018-0058,CONDUCTOR,MASCULINO,26,2018-06-13 00:00:00
2018-0059,CONDUCTOR,MASCULINO,54,2018-06-08 00:00:00
2018-0060,PEATON,MASCULINO,51,2018-06-08 00:00:00
2018-0061,CONDUCTOR,MASCULINO,51,2018-06-10 00:00:00
2018-0062,PEATON,MASCULINO,32,2018-06-14 00:00:00
2018-0063,PEATON,FEMENINO,28,2018-06-17 00:00:00
2018-0064,CONDUCTOR,MASCULINO,30,2018-06-25 00:00:00
2018-0065,CONDUCTOR,MASCULINO,35,2018-06-26 00:00:00
2018-0066,PEATON,MASCULINO,73,2018-06-28 00:00:00
2018-0067,PASAJERO_ACOMPAÑANTE,FEMENINO,81,2018-07-06 00:00:00
2018-0068,CONDUCTOR,MASCULINO,21,2018-07-01 00:00:00
2018-0069,CICLISTA,MASCULINO,20,2018-07-04 00:00:00
2018-0070,CONDUCTOR,MASCULINO,33,2018-07-07 00:00:00
2018-0071,CONDUCTOR,MASCULINO,SD,2018-07-10 00:00:00
2018-0072,CONDUCTOR,MASCULINO,27,2018-07-13 00:00:00
2018-0073,PEATON,FEMENINO,67,2018-07-11 00:00:00
